edit_id,task,dataset,group,operator_ids,before_prompt,after_prompt,changed_component,expected_contract_change,notes
B1,classification,TREC,B,E4,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Constraints:
- Be concise.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",unknown,no,"Add ""Be concise."""
B1,classification,DBPedia,B,E4,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.

Constraints:
- Be concise.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",unknown,no,"Add ""Be concise."""
B2,classification,TREC,B,E4,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Constraints:
- Always respond in French.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",unknown,no,"Add ""Respond in French."""
B2,classification,DBPedia,B,E4,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.

Constraints:
- Always respond in French.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",unknown,no,"Add ""Respond in French."""
B3,classification,TREC,B,E4,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Constraints:
- Only if 100% certain, else N/A.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",unknown,no,Add certainty / N/A rule
B3,classification,DBPedia,B,E4,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.

Constraints:
- Only if 100% certain, else N/A.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",unknown,no,Add certainty / N/A rule
B4,classification,TREC,B,E5,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Constraints:
- Max 1 word answer.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",unknown,no,Max 1 word answer
B4,classification,DBPedia,B,E5,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.

Constraints:
- Max 1 word answer.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",unknown,no,Max 1 word answer
B5,classification,TREC,B,E4,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Constraints:
- Be concise.
- Be detailed.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",unknown,no,Contradictory constraints
B5,classification,DBPedia,B,E4,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.

Constraints:
- Be concise.
- Be detailed.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",unknown,no,Contradictory constraints
B6,classification,TREC,B,E4,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Constraints:
- ONLY output the class label.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",unknown,no,ONLY output class label
B6,classification,DBPedia,B,E4,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.

Constraints:
- ONLY output the class label.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",unknown,no,ONLY output class label
B7,classification,TREC,B,E4,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Constraints:
- If the text could refer to an entity or a description, prefer the entity label.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",unknown,no,Entity/description hint
B7,classification,DBPedia,B,E4,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.

Constraints:
- If the text could refer to an entity or a description, prefer the entity label.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",unknown,no,Entity/description hint
C1,classification,TREC,C,E15,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Categorize the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",wording,no,Synonym swap directive
C1,classification,DBPedia,C,E15,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Categorize the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",wording,no,Synonym swap directive
C2,classification,TREC,C,E15,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value). You are a text classifier.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",wording,no,Sentence restructure
C2,classification,DBPedia,C,E15,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Assign the text below to exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.

Output only the category label on a single line.

Text to classify:
What is the capital of France?",wording,no,Sentence restructure
C3,classification,TREC,C,E17,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Number your reasoning steps as 1. 2. 3. before the final line.
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",wording,no,Bullet to numbered formatting
C3,classification,DBPedia,C,E17,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Number your reasoning steps as 1. 2. 3. before the final line.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",wording,no,Bullet to numbered formatting
C4,classification,TREC,C,E18,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: NUM (numeric value), LOC (location), HUM (human), DESC (description and abstract concept), ENTY (entity), ABBR (abbreviation).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",wording,no,Reverse class order in directive
C4,classification,DBPedia,C,E18,"Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: WrittenWork, Film, Album, Plant, Animal, Village, NaturalPlace, Building, MeanOfTransportation, OfficeHolder, Athlete, Artist, EducationalInstitution, Company.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",wording,no,Reverse class order in directive
C5,classification,TREC,C,E20,"You are a text classifer. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).
Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",wording,no,Fix deliberate typo
C5,classification,DBPedia,C,E20,"Classify the following text into exactly one of these 14 categores: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?","Classify the following text into exactly one of these 14 categories: Company, EducationalInstitution, Artist, Athlete, OfficeHolder, MeanOfTransportation, Building, NaturalPlace, Village, Animal, Plant, Album, Film, WrittenWork.
Output only the category label on a single line.

Question to classify:
What is the capital of France?",wording,no,Fix deliberate typo
C6,classification,TREC,C,E16,"You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Examples:
Input: What does CPU stand for?
Output: ABBR

Input: What is the speed of light?
Output: ENTY

Input: What is the theory of relativity?
Output: DESC

Input: Who invented the telephone?
Output: HUM

Input: Where is the Eiffel Tower?
Output: LOC

Input: How many feet are in a mile?
Output: NUM

Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?","You are a text classifier. Classify the following question into exactly one of these six categories: ABBR (abbreviation), ENTY (entity), DESC (description and abstract concept), HUM (human), LOC (location), NUM (numeric value).

Examples:
Input: What does CPU stand for? (rephrased)
Output: ABBR

Input: What is the speed of light?
Output: ENTY

Input: What is the theory of relativity?
Output: DESC

Input: Who invented the telephone?
Output: HUM

Input: Where is the Eiffel Tower?
Output: LOC

Input: How many feet are in a mile?
Output: NUM

Output only the category label on a single line. No explanation.

Question to classify:
What is the capital of France?",wording,no,Rephrase one example input
